Name,Instance Count,Size (bytes)
org.apache.coyote.http11.Http11InputBuffer$HeaderParsePosition,6,144
short[ ][ ],6,208
sun.nio.ch.SocketAdaptor,6,288
sun.security.util.LazyCodeSourcePermissionCollection,6,144
com.sun.org.apache.xerces.internal.util.PropertyState,5,120
com.sun.org.apache.xerces.internal.utils.XMLSecurityManager$State,5,120
com.sun.org.apache.xerces.internal.utils.XMLSecurityPropertyManager$State,5,120
com.sun.proxy.jdk.proxy1.$Proxy3,5,80
java.io.BufferedInputStream,5,200
java.io.FileInputStream,5,160
java.io.RandomAccessFile$1,5,80
java.lang.invoke.LambdaForm$NamedFunction[ ],5,232
java.lang.invoke.LambdaFormEditor$Transform[ ],5,160
java.lang.invoke.VarHandle$AccessType,5,160
java.lang.module.ModuleDescriptor$Opens,5,120
java.security.MessageDigest$Delegate$CloneableDelegate,5,160
java.util.Arrays$ArrayItr,5,120
java.util.BitSet,5,120
java.util.EnumMap,5,200
java.util.IdentityHashMap$KeySet,5,80
java.util.LinkedHashMap$LinkedEntrySet,5,80
java.util.concurrent.ConcurrentHashMap$EntryIterator,5,280
java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode,5,160
java.util.regex.Pattern,5,440
java.util.regex.Pattern$$Lambda$45.0x0000000100108c20,5,80
java.util.regex.Pattern$BitClass,5,80
java.util.regex.Pattern$Start,5,120
java.util.stream.StreamOpFlag,5,200
java.util.stream.StreamOpFlag$Type,5,120
javax.management.StandardEmitterMBean,5,160
javax.servlet.DispatcherType,5,120
jdk.internal.math.FloatingDecimal$PreparedASCIIToBinaryBuffer,5,120
jdk.net.ExtendedSocketOptions$ExtSocketOption,5,120
org.apache.catalina.core.ApplicationMappingMatch,5,120
org.apache.catalina.valves.AbstractAccessLogValve$FormatType,5,120
org.apache.tomcat.util.collections.SynchronizedStack,5,160
org.apache.tomcat.util.log.UserDataHelper,5,200
org.apache.tomcat.util.threads.TaskThread,5,1880
org.apache.tomcat.util.threads.TaskThread$WrappingRunnable,5,80
org.apache.tomcat.util.threads.ThreadPoolExecutor$Worker,5,240
sun.net.www.protocol.jar.URLJarFile,5,360
sun.nio.fs.NativeBuffer[ ],5,160
sun.nio.fs.WindowsPathType,5,120
sun.util.locale.provider.LocaleProviderAdapter$Type,5,160
sun.util.locale.provider.LocaleResources,5,160
com.jprofiler.agent.probe.f.i$b,4,192
com.jprofiler.agent.util.a.a.b.h$c[ ],4,128
com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$ArrayMapping,4,128
com.sun.org.apache.xerces.internal.impl.dtd.XMLEntityDecl,4,160
com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute[ ],4,160
com.sun.org.apache.xerces.internal.util.XMLResourceIdentifierImpl,4,128
com.sun.xml.internal.stream.Entity$InternalEntity,4,96
java.io.FileInputStream$1,4,64
java.io.ObjectStreamClass,4,480
java.io.ObjectStreamClass$FieldReflector,4,160
java.io.ObjectStreamClass$FieldReflectorKey,4,160
java.io.ObjectStreamClass$WeakClassKey,4,128
java.lang.StringBuffer,4,128
java.lang.StringCoding$Result,4,96
java.lang.Thread[ ],4,192
java.lang.invoke.MethodHandles$Lookup,4,128
java.lang.module.ModuleDescriptor$Modifier,4,96
java.lang.module.ModuleDescriptor$Requires$Modifier,4,96
java.net.URI$Parser,4,128
java.nio.file.LinkOption[ ],4,64
java.util.Calendar$Builder,4,224
java.util.LinkedList$ListItr,4,128
java.util.concurrent.ConcurrentHashMap$EntrySetView,4,64
java.util.regex.Pattern$BmpCharPropertyGreedy,4,96
java.util.regex.Pattern$Qtype,4,96
java.util.stream.FindOps$FindOp,4,128
java.util.stream.StreamShape,4,96
java.util.zip.ZipFile$Source$End,4,160
java.util.zip.ZipFile$ZipFileInflaterInputStream,4,224
java.util.zip.ZipFile$ZipFileInputStream,4,224
javax.management.MBeanConstructorInfo,4,128
javax.xml.catalog.CatalogFeatures$Feature,4,160
jdk.internal.logger.BootstrapLogger$LoggingBackend,4,96
jdk.internal.reflect.UnsafeQualifiedStaticLongFieldAccessorImpl,4,128
org.apache.catalina.WebResourceRoot$ResourceSetType,4,96
org.apache.catalina.startup.ClassLoaderFactory$RepositoryType,4,96
org.apache.catalina.startup.HostConfig$DeployedApplication[ ],4,64
org.apache.catalina.util.StandardSessionIdGenerator,4,224
org.apache.coyote.ErrorState,4,128
org.apache.tomcat.util.IntrospectionUtils$PropertySource[ ],4,96
org.apache.tomcat.util.buf.StringCache$ByteEntry,4,96
org.apache.tomcat.util.descriptor.web.FilterMap[ ],4,80
org.apache.tomcat.util.digester.Digester,4,448
org.apache.tomcat.util.digester.RulesBase,4,128
org.apache.tomcat.util.digester.SystemPropertySource,4,64
org.apache.tomcat.util.http.SameSiteCookies,4,96
org.apache.tomcat.util.log.UserDataHelper$Config,4,96
org.apache.tomcat.util.net.AbstractEndpoint$Acceptor$AcceptorState,4,96
org.apache.tomcat.util.net.AbstractEndpoint$BindState,4,96
sun.net.www.MessageHeader,4,96
sun.net.www.protocol.file.FileURLConnection,4,416
sun.nio.cs.ISO_8859_1$Encoder,4,192
sun.nio.cs.Surrogate$Parser,4,96
sun.nio.fs.WindowsFileAttributeViews$Basic,4,96
sun.nio.fs.WindowsPathParser$Result,4,96
sun.reflect.annotation.AnnotationType,4,128
byte[ ][ ],3,1632
com.jprofiler.agent.mbean.g$a,3,72
com.jprofiler.agent.probe.a.d.f,3,96
com.jprofiler.agent.probe.d.f,3,48
com.jprofiler.agent.probe.i.h,3,72
com.jprofiler.agent.util.a.e,3,168
com.jprofiler.agent.util.a.e$a[ ],3,240
com.jprofiler.api.agent.ProbeObjectType,3,72
com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$EnumMapping,3,96
com.sun.org.apache.xerces.internal.impl.dtd.XMLAttributeDecl,3,72
com.sun.org.apache.xerces.internal.impl.dtd.XMLDTDDescription,3,120
com.sun.org.apache.xerces.internal.impl.dv.dtd.ListDatatypeValidator,3,48
com.sun.org.apache.xerces.internal.utils.XMLSecurityManager$NameMap,3,96
java.io.ByteArrayOutputStream,3,72
